Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
Starburst Slot;NetEnt;Видео-слоты;10;5;1;10;250;96.1%;yes;no;yes;no;yes;no;no
Gonzo's Quest Slot;NetEnt;Видео-слоты;20;5;1;5;2500;96%;no;no;yes;yes;yes;yes;yes
Jack Hammer 2;NetEnt;Видео-слоты;50;5;1;10;500;97.1%;yes;no;Неизвестно;Неизвестно;Неизвестно;Неизвестно;Неизвестно
Thunderstruck 2 Slot;Microgaming;Видео-слоты;243;5;1;10;6000;96.65%;yes;no;yes;yes;yes;yes;yes
Dead or Alive Slot;NetEnt;Видео-слоты;9;5;1;4;2500;96.8%;no;no;yes;yes;yes;yes;yes
Secret of the Stones Slot;NetEnt;Видео-слоты;25;5;1;10;1250;96.7%;no;no;yes;yes;yes;yes;yes
Immortal Romance Slot;Microgaming;Видео-слоты;243;5;1;10;60;96.86%;yes;no;yes;yes;yes;yes;yes
South Park Slot;NetEnt;Видео-слоты;25;5;1;10;750;96.7%;yes;no;yes;yes;yes;yes;yes
Jack and the Beanstalk Slot;NetEnt;Видео-слоты;20;5;1;10;1000;96.3%;yes;no;yes;yes;yes;yes;yes
Blood Suckers Slot;NetEnt;Видео-слоты;25;5;1;4;7500;98%;yes;no;yes;yes;yes;yes;yes
Twin Spin Slot;NetEnt;Видео-слоты;243;5;1;10;1000;96.6%;no;no;yes;no;yes;no;no
Avalon II Slot;Microgaming;Видео-слоты;243;5;1;1;120000;97%;yes;no;yes;yes;yes;yes;yes
Lost Island Slot;NetEnt;Видео-слоты;20;5;1;10;500;96.5%;no;no;yes;yes;yes;yes;yes
Gold Factory Slot;Microgaming;Видео-слоты;50;5;1;20;2500;96.54%;yes;no;yes;yes;yes;yes;yes
